feature,stability,avg_coefficient,std_coefficient,n_folds_important,n_folds_total
Air_Temp,1.0,0.03993967708257114,0.0037325380999867876,44,44
Q2,1.0,0.07293800760793759,0.0021700077743707935,44,44
CO2e_lag1,1.0,0.10841496643631454,0.015778886831655667,44,44
Q4,1.0,0.0681813919857729,0.0037332630678424132,44,44
GDP,0.45454545454545453,0.00824807154657141,0.0050119231112695515,20,44
CO2e_roll8_std,0.38636363636363635,0.009566321652210512,0.005067673393959254,17,44
COVID_Deaths,0.25,0.0054193624663310775,0.009407266853443187,11,44
COVID,0.045454545454545456,0.0021223429638863676,0.003744070017767004,2,44
Rainfall,0.0,0.002940298900903267,0.0011272159155157218,0,44
CO2e_roll4_std,0.0,0.0022755851351573303,0.0024414689536439425,0,44
EnergyCrisis,0.0,0.00029112955202366847,0.0010465462957635386,0,44
