2026-02-01 02:07:24 | INFO     | co2_forecast | Logging to: outputs/runs/run_20260201_0207/logs/run_20260201_0207.log
2026-02-01 02:07:24 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:24 | INFO     | co2_forecast | Script 00: Make Dataset
2026-02-01 02:07:24 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:24 | INFO     | co2_forecast | Run ID: run_20260201_0207
2026-02-01 02:07:24 | INFO     | co2_forecast | Input: data 1999-2025Q1.xlsx
2026-02-01 02:07:24 | INFO     | co2_forecast | ----------------------------------------
2026-02-01 02:07:24 | INFO     | co2_forecast | Step 1: Loading raw data...
2026-02-01 02:07:24 | INFO     | co2_forecast | Loading data from: data 1999-2025Q1.xlsx
2026-02-01 02:07:24 | INFO     | co2_forecast | Loaded sheet: Sheet1 (header row: 2)
2026-02-01 02:07:24 | INFO     | co2_forecast | Loaded 105 rows, 9 columns
2026-02-01 02:07:24 | INFO     | co2_forecast | Columns: ['Time_Period', 'CO2e', 'GDP', 'Population', 'Air_Temp', 'Rainfall', 'TEC', 'CEI', 'COVID_Deaths']
2026-02-01 02:07:24 | WARNING  | co2_forecast | Some expected features not found: ['GDP_growth', 'Industrial_Production', 'GDP_per_capita', 'Consumption', 'Investment']...
2026-02-01 02:07:24 | WARNING  | co2_forecast | Additional columns found: ['Air_Temp', 'Rainfall', 'TEC', 'CEI', 'COVID_Deaths']...
2026-02-01 02:07:24 | INFO     | co2_forecast | Date range: 1999-01-01 00:00:00 to 2025-01-01 00:00:00
2026-02-01 02:07:24 | INFO     | co2_forecast | Target column: CO2e
2026-02-01 02:07:24 | INFO     | co2_forecast | Data prepared: 105 rows, 8 columns
2026-02-01 02:07:24 | INFO     | co2_forecast | Loaded 105 rows, 8 columns
2026-02-01 02:07:24 | INFO     | co2_forecast | ----------------------------------------
2026-02-01 02:07:24 | INFO     | co2_forecast | Step 2: Data quality audit...
2026-02-01 02:07:24 | INFO     | co2_forecast | Generating data quality report...
2026-02-01 02:07:24 | INFO     | co2_forecast | Quality report saved to: outputs/runs/run_20260201_0207/tables
2026-02-01 02:07:24 | INFO     | co2_forecast | Quality report saved to outputs/runs/run_20260201_0207/tables
2026-02-01 02:07:24 | INFO     | co2_forecast | ----------------------------------------
2026-02-01 02:07:24 | INFO     | co2_forecast | Step 3: Cleaning data...
2026-02-01 02:07:24 | INFO     | co2_forecast | Cleaning complete. Shape: (105, 8)
2026-02-01 02:07:24 | INFO     | co2_forecast | Cleaned data: 105 rows, 8 columns
2026-02-01 02:07:24 | INFO     | co2_forecast | ----------------------------------------
2026-02-01 02:07:24 | INFO     | co2_forecast | Step 4: Feature engineering...
2026-02-01 02:07:24 | INFO     | co2_forecast | Starting feature engineering...
2026-02-01 02:07:24 | INFO     | co2_forecast | Applied log transform to target. Range: 11.3635 to 12.1308
2026-02-01 02:07:24 | INFO     | co2_forecast | Created 4 lag features
2026-02-01 02:07:24 | INFO     | co2_forecast | Created 4 rolling features
2026-02-01 02:07:24 | INFO     | co2_forecast | Created 4 rolling features (shifted by 1 to avoid leakage)
2026-02-01 02:07:24 | INFO     | co2_forecast | Created quarter dummy features (Q2, Q3, Q4)
2026-02-01 02:07:24 | INFO     | co2_forecast | Created COVID dummy (2020Q1 to 2021Q4)
2026-02-01 02:07:24 | INFO     | co2_forecast | Created Energy Crisis dummy (2022Q1 to 2023Q4)
2026-02-01 02:07:24 | INFO     | co2_forecast | Feature engineering complete. Total features: 20
2026-02-01 02:07:24 | INFO     | co2_forecast | Features: 20 columns, 101 valid rows
2026-02-01 02:07:24 | INFO     | co2_forecast | ----------------------------------------
2026-02-01 02:07:24 | INFO     | co2_forecast | Step 5: Creating walk-forward CV splits...
2026-02-01 02:07:24 | INFO     | co2_forecast | Creating walk-forward splits for 101 valid samples
2026-02-01 02:07:24 | INFO     | co2_forecast | Created 44 CV folds across horizons [1, 2, 4]
2026-02-01 02:07:24 | INFO     | co2_forecast | Created 44 CV folds
2026-02-01 02:07:24 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:24 | INFO     | co2_forecast | Dataset creation complete!
2026-02-01 02:07:24 | INFO     | co2_forecast |   Raw data: 105 rows
2026-02-01 02:07:24 | INFO     | co2_forecast |   Clean data: 105 rows
2026-02-01 02:07:24 | INFO     | co2_forecast |   Features: 20 columns
2026-02-01 02:07:24 | INFO     | co2_forecast |   Valid samples: 101
2026-02-01 02:07:24 | INFO     | co2_forecast |   CV folds: 44
2026-02-01 02:07:24 | INFO     | co2_forecast |   Outputs saved to: outputs/runs/run_20260201_0207
2026-02-01 02:07:24 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:29 | INFO     | co2_forecast | Logging to: outputs/runs/run_20260201_0207/logs/run_20260201_0207.log
2026-02-01 02:07:29 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:29 | INFO     | co2_forecast | Script 01: Run Feature Selection
2026-02-01 02:07:29 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:29 | INFO     | co2_forecast | Loading processed data...
2026-02-01 02:07:29 | INFO     | co2_forecast | Loaded: 101 samples, 20 features
2026-02-01 02:07:29 | INFO     | co2_forecast | ----------------------------------------
2026-02-01 02:07:29 | INFO     | co2_forecast | Running all feature selection methods...
2026-02-01 02:07:29 | INFO     | co2_forecast | Running all feature selection options...
2026-02-01 02:07:29 | INFO     | co2_forecast | ==================================================
2026-02-01 02:07:29 | INFO     | co2_forecast | Running linear feature selection (FS_linear)...
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 0: Removed 'CO2e_lag2' (VIF=inf)
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 1: Removed 'CO2e_roll4_mean' (VIF=644.60)
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 2: Removed 'CO2e_roll8_mean' (VIF=138.45)
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 3: Removed 'CEI' (VIF=131.73)
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 4: Removed 'Q3' (VIF=64.41)
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 5: Removed 'TEC' (VIF=52.73)
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 6: Removed 'Population' (VIF=27.76)
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 7: Removed 'CO2e_lag4' (VIF=22.37)
2026-02-01 02:07:29 | INFO     | co2_forecast | Iteration 8: Removed 'CO2e_lag3' (VIF=15.78)
2026-02-01 02:07:30 | INFO     | co2_forecast | VIF filter: 20 -> 11 features
2026-02-01 02:07:30 | INFO     | co2_forecast | Ridge stability: Selected 4 features (stability >= 0.6)
2026-02-01 02:07:30 | INFO     | co2_forecast | ElasticNet stability: Selected 0 features (stability >= 0.6)
2026-02-01 02:07:30 | INFO     | co2_forecast | FS_linear final: 4 features selected
2026-02-01 02:07:30 | INFO     | co2_forecast | ==================================================
2026-02-01 02:07:30 | INFO     | co2_forecast | Running nonlinear feature selection (FS_nonlinear)...
2026-02-01 02:07:36 | INFO     | co2_forecast | RF importance: Selected 5 features
2026-02-01 02:07:38 | INFO     | co2_forecast | LightGBM importance: Selected 15 features
2026-02-01 02:07:42 | INFO     | co2_forecast | CatBoost importance: Selected 18 features
2026-02-01 02:07:42 | INFO     | co2_forecast | FS_nonlinear final: 18 features selected
2026-02-01 02:07:42 | INFO     | co2_forecast | ==================================================
2026-02-01 02:07:42 | INFO     | co2_forecast | Running consensus feature selection (FS_consensus)...
2026-02-01 02:07:42 | INFO     | co2_forecast | Vote-based selection: 17 features with >= 2 votes
2026-02-01 02:07:43 | INFO     | co2_forecast | Stability-based selection: 8 features with stability >= 0.6
2026-02-01 02:07:43 | INFO     | co2_forecast | FS_consensus final: 8 features selected
2026-02-01 02:07:43 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:43 | INFO     | co2_forecast | Feature Selection Complete!
2026-02-01 02:07:43 | INFO     | co2_forecast |   fs_linear: 4 features
2026-02-01 02:07:43 | INFO     | co2_forecast |   fs_nonlinear: 18 features
2026-02-01 02:07:43 | INFO     | co2_forecast |   fs_consensus: 8 features
2026-02-01 02:07:43 | INFO     | co2_forecast | Results saved to: outputs/runs/run_20260201_0207/tables
2026-02-01 02:07:43 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:46 | INFO     | co2_forecast | Logging to: outputs/runs/run_20260201_0207/logs/run_20260201_0207.log
2026-02-01 02:07:46 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:46 | INFO     | co2_forecast | Script 02: Evaluate FS with SHAP + MCDA
2026-02-01 02:07:46 | INFO     | co2_forecast | ============================================================
2026-02-01 02:07:46 | INFO     | co2_forecast | Loading data and FS results...
2026-02-01 02:07:46 | INFO     | co2_forecast | ----------------------------------------
2026-02-01 02:07:46 | INFO     | co2_forecast | Evaluating FS options with SHAP...
2026-02-01 02:07:46 | INFO     | co2_forecast | Creating FS evaluation matrix...
2026-02-01 02:07:46 | INFO     | co2_forecast | Evaluating FS option: fs_linear (4 features)
2026-02-01 02:07:48 | INFO     | co2_forecast |   Weighted MAE: 0.1258
2026-02-01 02:07:48 | INFO     | co2_forecast |   Stability: 0.9588
2026-02-01 02:07:48 | INFO     | co2_forecast |   SHAP concentration: 1.0000
2026-02-01 02:07:48 | INFO     | co2_forecast |   SHAP stability: 0.9344
2026-02-01 02:07:48 | INFO     | co2_forecast |   Parsimony: 4 features
2026-02-01 02:07:48 | INFO     | co2_forecast | Evaluating FS option: fs_nonlinear (18 features)
2026-02-01 02:07:50 | INFO     | co2_forecast |   Weighted MAE: 0.0608
2026-02-01 02:07:50 | INFO     | co2_forecast |   Stability: 0.9695
2026-02-01 02:07:50 | INFO     | co2_forecast |   SHAP concentration: 0.7676
