feature,mean_importance,std_importance,min_importance,max_importance,normalized_importance
TEC,30.636363636363637,14.019614359063501,0,48,1.0
CO2e_lag2,19.863636363636363,13.11243495363173,0,40,0.6483679525222552
CO2e_lag4,19.431818181818183,16.199603989650104,0,45,0.634272997032641
CO2e_lag3,19.204545454545453,10.485009961096724,0,39,0.6268545994065281
Population,14.454545454545455,6.736786884016828,0,25,0.47181008902077154
CO2e_lag1,13.681818181818182,7.363215476187039,0,28,0.4465875370919881
Air_Temp,13.431818181818182,7.83754868702502,0,27,0.4384272997032641
GDP,11.295454545454545,8.5109008855877,0,31,0.36869436201780414
Rainfall,8.0,9.643650760992955,0,28,0.26112759643916916
CEI,7.863636363636363,4.444562096698049,0,15,0.25667655786350146
Q2,1.6590909090909092,3.0146851321955648,0,11,0.05415430267062315
Q4,0.36363636363636365,0.77138921583987,0,2,0.011869436201780416
COVID_Deaths,0.0,0.0,0,0,0.0
Q3,0.0,0.0,0,0,0.0
COVID,0.0,0.0,0,0,0.0
EnergyCrisis,0.0,0.0,0,0,0.0
