feature,stability,avg_coefficient,std_coefficient,n_folds_important,n_folds_total
CO2e_lag4,1.0,0.08891073305668998,0.017497289347040142,44,44
Q4,1.0,0.03005741021192773,0.0020117003201198507,44,44
CO2e_per_TEC,1.0,0.034973248626881066,0.004610682620218395,44,44
CO2e_dlog,1.0,0.05431173802242797,0.004121813655331567,44,44
Q2,1.0,0.022080402192317262,0.0025951002329292843,44,44
GDP_dlog,0.7954545454545454,0.009296782886735256,0.004803000010155712,35,44
GDP,0.7954545454545454,0.010890241062793146,0.004693489954462763,35,44
Rainfall,0.3181818181818182,0.0038186197622988027,0.0015288171764705546,14,44
COVID_Deaths,0.25,0.005020499940426733,0.009645560598762573,11,44
COVID,0.25,0.002731830302132047,0.005031652755156352,11,44
EnergyCrisis,0.045454545454545456,0.0008778637829186176,0.0027019637375928327,2,44
CDD_proxy,0.0,0.0,0.0,0,44
