feature,mean_importance,std_importance,min_importance,max_importance,normalized_importance
TEC,19.863636363636363,12.807297119382069,0,47,1.0
TEC_dlog,19.0,11.834080215439412,4,55,0.9565217391304348
CO2e_lag2,18.977272727272727,14.258153387326457,0,44,0.9553775743707094
CO2e_per_Population,15.386363636363637,10.75811725056292,0,35,0.7745995423340961
CO2e_lag1,15.136363636363637,8.876913133339736,0,39,0.7620137299771167
CO2e_lag3,13.75,8.13557004763649,0,31,0.6922196796338673
Population,10.863636363636363,6.77760654016026,0,23,0.5469107551487414
GDP,10.022727272727273,6.243136727507024,0,19,0.5045766590389016
CO2e_lag4,9.386363636363637,9.886206895309217,0,36,0.4725400457665904
CO2e_dlog,7.4772727272727275,11.314690041879258,0,45,0.37643020594965676
Rainfall,6.7272727272727275,8.912105241451695,0,31,0.33867276887871856
Air_Temp,5.7727272727272725,5.273706805566117,0,14,0.2906178489702517
CEI,5.431818181818182,3.8635695181383243,0,14,0.2734553775743707
CO2e_per_TEC,3.909090909090909,5.264884449298275,0,16,0.19679633867276888
GDP_dlog,2.1818181818181817,3.0246917744752957,0,9,0.10983981693363844
HDD_proxy,1.7727272727272727,3.0440973909551303,0,11,0.08924485125858124
Q2,0.13636363636363635,0.5041152957458825,0,2,0.006864988558352402
COVID_Deaths,0.0,0.0,0,0,0.0
CDD_proxy,0.0,0.0,0,0,0.0
Q3,0.0,0.0,0,0,0.0
Q4,0.0,0.0,0,0,0.0
COVID,0.0,0.0,0,0,0.0
EnergyCrisis,0.0,0.0,0,0,0.0
